"ID"	"Carcinoma Ecotype"
"TCGA-BP-4776-01A"	"CE6"
"TCGA-BP-4329-01A"	"CE6"
"TCGA-BP-4801-01A"	"CE6"
"TCGA-B8-A7U6-01A"	"CE6"
"TCGA-BP-4991-01A"	"CE6"
"TCGA-CJ-5689-11A"	"CE6"
"TCGA-CW-5589-01A"	"CE6"
"TCGA-3Z-A93Z-01A"	"CE6"
"TCGA-DV-A4W0-01A"	"CE6"
"TCGA-B8-A54J-01A"	"CE6"
"TCGA-B8-5549-01A"	"CE6"
"TCGA-BP-4961-01A"	"CE6"
"TCGA-BP-4344-01A"	"CE6"
"TCGA-B0-5694-11A"	"CE6"
"TCGA-A3-A6NL-01A"	"CE6"
"TCGA-BP-4993-01A"	"CE6"
"TCGA-B0-5701-11A"	"CE6"
"TCGA-CJ-4870-01A"	"CE6"
"TCGA-B0-5402-01A"	"CE6"
"TCGA-BP-4765-01A"	"CE6"
"TCGA-BP-4974-01A"	"CE6"
"TCGA-B0-5402-11A"	"CE6"
"TCGA-AK-3434-01A"	"CE6"
"TCGA-CZ-4866-01A"	"CE7"
"TCGA-CZ-5453-11A"	"CE7"
"TCGA-CJ-6032-01A"	"CE7"
"TCGA-EU-5907-01A"	"CE7"
"TCGA-CW-5580-01A"	"CE7"
"TCGA-BP-4965-01A"	"CE7"
"TCGA-CZ-5989-01A"	"CE7"
"TCGA-CZ-5465-01A"	"CE7"
"TCGA-CW-5581-01A"	"CE7"
"TCGA-B8-5552-11A"	"CE7"
"TCGA-CZ-4859-01A"	"CE7"
"TCGA-CZ-5986-01A"	"CE7"
"TCGA-BP-4766-01A"	"CE7"
"TCGA-B4-5843-01A"	"CE7"
"TCGA-BP-5202-01A"	"CE7"
"TCGA-B0-5713-01A"	"CE7"
"TCGA-A3-A8CQ-01A"	"CE7"
"TCGA-CZ-5982-01A"	"CE7"
"TCGA-CZ-5463-01A"	"CE7"
"TCGA-B8-5159-01A"	"CE7"
"TCGA-B4-5377-01A"	"CE7"
"TCGA-BP-4976-01A"	"CE7"
"TCGA-B0-5693-01A"	"CE7"
"TCGA-A3-3306-01A"	"CE7"
"TCGA-B8-4146-01B"	"CE7"
"TCGA-DV-5567-01A"	"CE7"
"TCGA-CW-6093-01A"	"CE7"
"TCGA-CW-5585-01A"	"CE7"
"TCGA-EU-5906-01A"	"CE7"
"TCGA-A3-3307-01A"	"CE7"
"TCGA-CW-5591-01A"	"CE7"
"TCGA-BP-4977-01A"	"CE8"
"TCGA-CZ-5454-11A"	"CE8"
"TCGA-B2-3924-01B"	"CE8"
"TCGA-BP-5007-01A"	"CE8"
"TCGA-DV-A4W0-05A"	"CE8"
"TCGA-BP-4325-01A"	"CE8"
"TCGA-CZ-5469-11A"	"CE8"
"TCGA-A3-3372-01A"	"CE8"
"TCGA-CJ-4878-01A"	"CE8"
"TCGA-B2-5635-01B"	"CE8"
"TCGA-CZ-5465-11A"	"CE8"
"TCGA-BP-4341-01A"	"CE8"
"TCGA-B0-4814-01A"	"CE8"
"TCGA-B0-4849-01A"	"CE8"
"TCGA-B0-5094-01A"	"CE8"
"TCGA-B0-4706-01A"	"CE8"
"TCGA-A3-3367-01A"	"CE8"
"TCGA-BP-4347-01A"	"CE8"
"TCGA-A3-3363-01A"	"CE8"
"TCGA-CW-6090-11A"	"CE8"
"TCGA-G6-A8L8-01A"	"CE8"
"TCGA-BP-4327-01A"	"CE8"
"TCGA-A3-3359-01A"	"CE8"
"TCGA-AK-3445-01A"	"CE8"
"TCGA-A3-3352-01A"	"CE8"
"TCGA-B0-5711-11A"	"CE8"
"TCGA-AK-3450-01A"	"CE8"
"TCGA-B0-4828-01A"	"CE8"
"TCGA-B0-4833-01A"	"CE8"
"TCGA-CZ-5463-11A"	"CE8"
"TCGA-BP-4164-01A"	"CE8"
"TCGA-CZ-5457-11A"	"CE8"
"TCGA-B0-5099-01A"	"CE8"
"TCGA-B2-5633-01B"	"CE8"
